Region,Year,Category,Value,Criteria
Europe,2016,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2016,Total,81.7,Population covered by at least a 3G mobile network (%)
Low-income,2016,Total,22.4,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2016,Total,67.9,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2016,Total,86.6,Population covered by at least a 3G mobile network (%)
High-income,2016,Total,99.3,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2016,Total,41.0,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2016,Total,51.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2016,Total,58.1,Population covered by at least a 3G mobile network (%)
Africa,2016,Total,41.9,Population covered by at least a 3G mobile network (%)
Americas,2016,Total,88.8,Population covered by at least a 3G mobile network (%)
Arab States,2016,Total,44.7,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2016,Total,89.5,Population covered by at least a 3G mobile network (%)
CIS,2016,Total,76.4,Population covered by at least a 3G mobile network (%)
Europe,2016,Total,93.6,Population covered by at least a 3G mobile network (%)
World,2016,Total,46.2,Population covered by at least a 3G mobile network (%)
Low-income,2016,Total,14.5,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2016,Total,41.1,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2016,Total,67.5,Population covered by at least a 3G mobile network (%)
High-income,2016,Total,86.9,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2016,Total,23.0,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2016,Total,26.2,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2016,Total,39.7,Population covered by at least a 3G mobile network (%)
Africa,2016,Total,20.7,Population covered by at least a 3G mobile network (%)
Americas,2016,Total,72.0,Population covered by at least a 3G mobile network (%)
Arab States,2016,Total,49.5,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2016,Total,47.2,Population covered by at least a 3G mobile network (%)
CIS,2016,Total,82.8,Population covered by at least a 3G mobile network (%)
Europe,2016,Total,84.6,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2017,Total,99.2,Population covered by at least a 3G mobile network (%)
Low-income,2017,Total,88.2,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2017,Total,98.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2017,Total,99.5,Population covered by at least a 3G mobile network (%)
High-income,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2017,Total,96.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2017,Total,97.8,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2017,Total,87.5,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,94.1,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,99.2,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,98.3,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,99.2,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2017,Total,89.8,Population covered by at least a 3G mobile network (%)
Low-income,2017,Total,26.9,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2017,Total,83.3,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2017,Total,93.5,Population covered by at least a 3G mobile network (%)
High-income,2017,Total,99.7,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2017,Total,49.8,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2017,Total,63.9,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2017,Total,67.7,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,51.5,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,91.8,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,71.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,98.6,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,85.6,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,94.0,Population covered by at least a 3G mobile network (%)
World,2017,Total,47.5,Population covered by at least a 3G mobile network (%)
Low-income,2017,Total,16.1,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2017,Total,42.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2017,Total,69.1,Population covered by at least a 3G mobile network (%)
High-income,2017,Total,87.8,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2017,Total,24.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2017,Total,28.3,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2017,Total,40.7,Population covered by at least a 3G mobile network (%)
Africa,2017,Total,22.7,Population covered by at least a 3G mobile network (%)
Americas,2017,Total,74.2,Population covered by at least a 3G mobile network (%)
Arab States,2017,Total,50.1,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2017,Total,48.5,Population covered by at least a 3G mobile network (%)
CIS,2017,Total,85.0,Population covered by at least a 3G mobile network (%)
Europe,2017,Total,85.8,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,99.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2018,Total,99.4,Population covered by at least a 3G mobile network (%)
Low-income,2018,Total,91.6,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2018,Total,98.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2018,Total,99.9,Population covered by at least a 3G mobile network (%)
High-income,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2018,Total,99.3,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2018,Total,99.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2018,Total,96.5,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,95.6,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,99.4,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,99.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,99.2,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2018,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2018,Total,92.2,Population covered by at least a 3G mobile network (%)
Low-income,2018,Total,37.7,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2018,Total,86.9,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2018,Total,96.5,Population covered by at least a 3G mobile network (%)
High-income,2018,Total,99.7,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2018,Total,56.6,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2018,Total,72.8,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2018,Total,70.1,Population covered by at least a 3G mobile network (%)
Africa,2018,Total,56.2,Population covered by at least a 3G mobile network (%)
Americas,2018,Total,95.8,Population covered by at least a 3G mobile network (%)
Arab States,2018,Total,76.1,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2018,Total,98.9,Population covered by at least a 3G mobile network (%)
CIS,2018,Total,94.0,Population covered by at least a 3G mobile network (%)
Europe,2018,Total,96.7,Population covered by at least a 3G mobile network (%)
Africa,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2019,Total,99.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2019,Total,99.6,Population covered by at least a 3G mobile network (%)
Low-income,2019,Total,99.4,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2019,Total,99.2,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2019,Total,99.9,Population covered by at least a 3G mobile network (%)
High-income,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2019,Total,99.3,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2019,Total,99.7,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2019,Total,96.9,Population covered by at least a 3G mobile network (%)
Africa,2019,Total,96.9,Population covered by at least a 3G mobile network (%)
Americas,2019,Total,99.4,Population covered by at least a 3G mobile network (%)
Arab States,2019,Total,99.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2019,Total,99.5,Population covered by at least a 3G mobile network (%)
CIS,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2019,Total,94.3,Population covered by at least a 3G mobile network (%)
Low-income,2019,Total,49.1,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2019,Total,92.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2019,Total,97.5,Population covered by at least a 3G mobile network (%)
High-income,2019,Total,99.9,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2019,Total,65.1,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2019,Total,82.3,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2019,Total,76.8,Population covered by at least a 3G mobile network (%)
Africa,2019,Total,68.9,Population covered by at least a 3G mobile network (%)
Americas,2019,Total,97.0,Population covered by at least a 3G mobile network (%)
Arab States,2019,Total,75.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2019,Total,99.1,Population covered by at least a 3G mobile network (%)
CIS,2019,Total,99.2,Population covered by at least a 3G mobile network (%)
Europe,2019,Total,100.0,Population covered by at least a 3G mobile network (%)
Africa,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2020,Total,99.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2020,Total,99.8,Population covered by at least a 3G mobile network (%)
Low-income,2020,Total,99.0,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2020,Total,99.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2020,Total,99.9,Population covered by at least a 3G mobile network (%)
High-income,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2020,Total,99.3,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2020,Total,99.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2020,Total,97.6,Population covered by at least a 3G mobile network (%)
Africa,2020,Total,99.4,Population covered by at least a 3G mobile network (%)
Americas,2020,Total,99.7,Population covered by at least a 3G mobile network (%)
Arab States,2020,Total,99.3,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2020,Total,96.5,Population covered by at least a 3G mobile network (%)
Low-income,2020,Total,68.9,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2020,Total,94.0,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2020,Total,99.5,Population covered by at least a 3G mobile network (%)
High-income,2020,Total,99.9,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2020,Total,77.8,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2020,Total,87.2,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2020,Total,81.8,Population covered by at least a 3G mobile network (%)
Africa,2020,Total,79.9,Population covered by at least a 3G mobile network (%)
Americas,2020,Total,98.2,Population covered by at least a 3G mobile network (%)
Arab States,2020,Total,88.8,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2020,Total,99.2,Population covered by at least a 3G mobile network (%)
CIS,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2020,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2020,Total,15.6,Population covered by at least a 3G mobile network (%)
Low-income,2020,Total,0.0,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2020,Total,1.1,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2020,Total,2.5,Population covered by at least a 3G mobile network (%)
High-income,2020,Total,56.2,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2020,Total,0.1,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2020,Total,0.8,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2020,Total,12.7,Population covered by at least a 3G mobile network (%)
Africa,2020,Total,0.1,Population covered by at least a 3G mobile network (%)
Americas,2020,Total,40.1,Population covered by at least a 3G mobile network (%)
Arab States,2020,Total,13.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2020,Total,5.9,Population covered by at least a 3G mobile network (%)
CIS,2020,Total,0.6,Population covered by at least a 3G mobile network (%)
Europe,2020,Total,36.1,Population covered by at least a 3G mobile network (%)
Africa,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2021,Total,99.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2021,Total,99.9,Population covered by at least a 3G mobile network (%)
Low-income,2021,Total,99.6,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2021,Total,99.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2021,Total,99.9,Population covered by at least a 3G mobile network (%)
High-income,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2021,Total,99.6,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2021,Total,99.7,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2021,Total,98.7,Population covered by at least a 3G mobile network (%)
Africa,2021,Total,99.8,Population covered by at least a 3G mobile network (%)
Americas,2021,Total,99.7,Population covered by at least a 3G mobile network (%)
Arab States,2021,Total,99.2,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2021,Total,97.4,Population covered by at least a 3G mobile network (%)
Low-income,2021,Total,71.4,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2021,Total,96.5,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2021,Total,99.7,Population covered by at least a 3G mobile network (%)
High-income,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2021,Total,79.5,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2021,Total,89.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2021,Total,85.0,Population covered by at least a 3G mobile network (%)
Africa,2021,Total,87.5,Population covered by at least a 3G mobile network (%)
Americas,2021,Total,98.5,Population covered by at least a 3G mobile network (%)
Arab States,2021,Total,89.5,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2021,Total,99.2,Population covered by at least a 3G mobile network (%)
CIS,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2021,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2021,Total,30.7,Population covered by at least a 3G mobile network (%)
Low-income,2021,Total,0.0,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2021,Total,4.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2021,Total,25.2,Population covered by at least a 3G mobile network (%)
High-income,2021,Total,75.3,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2021,Total,0.2,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2021,Total,2.5,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2021,Total,17.9,Population covered by at least a 3G mobile network (%)
Africa,2021,Total,2.2,Population covered by at least a 3G mobile network (%)
Americas,2021,Total,45.8,Population covered by at least a 3G mobile network (%)
Arab States,2021,Total,14.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2021,Total,29.2,Population covered by at least a 3G mobile network (%)
CIS,2021,Total,2.4,Population covered by at least a 3G mobile network (%)
Europe,2021,Total,56.2,Population covered by at least a 3G mobile network (%)
Africa,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2022,Total,99.9,Population covered by at least a 3G mobile network (%)
Low-income,2022,Total,99.7,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2022,Total,99.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
High-income,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2022,Total,99.7,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2022,Total,99.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2022,Total,99.1,Population covered by at least a 3G mobile network (%)
Africa,2022,Total,99.8,Population covered by at least a 3G mobile network (%)
Americas,2022,Total,99.7,Population covered by at least a 3G mobile network (%)
Arab States,2022,Total,99.4,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2022,Total,98.8,Population covered by at least a 3G mobile network (%)
Low-income,2022,Total,87.7,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2022,Total,98.5,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2022,Total,99.8,Population covered by at least a 3G mobile network (%)
High-income,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2022,Total,94.5,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2022,Total,98.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2022,Total,85.5,Population covered by at least a 3G mobile network (%)
Africa,2022,Total,96.9,Population covered by at least a 3G mobile network (%)
Americas,2022,Total,98.5,Population covered by at least a 3G mobile network (%)
Arab States,2022,Total,96.9,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2022,Total,99.3,Population covered by at least a 3G mobile network (%)
CIS,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2022,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2022,Total,47.6,Population covered by at least a 3G mobile network (%)
Low-income,2022,Total,1.5,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2022,Total,11.9,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2022,Total,56.6,Population covered by at least a 3G mobile network (%)
High-income,2022,Total,82.8,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2022,Total,1.6,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2022,Total,5.2,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2022,Total,34.0,Population covered by at least a 3G mobile network (%)
Africa,2022,Total,4.5,Population covered by at least a 3G mobile network (%)
Americas,2022,Total,51.6,Population covered by at least a 3G mobile network (%)
Arab States,2022,Total,16.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2022,Total,58.0,Population covered by at least a 3G mobile network (%)
CIS,2022,Total,3.8,Population covered by at least a 3G mobile network (%)
Europe,2022,Total,68.1,Population covered by at least a 3G mobile network (%)
Africa,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2023,Total,99.9,Population covered by at least a 3G mobile network (%)
Low-income,2023,Total,99.9,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2023,Total,99.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
High-income,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2023,Total,99.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2023,Total,99.8,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2023,Total,99.1,Population covered by at least a 3G mobile network (%)
Africa,2023,Total,99.9,Population covered by at least a 3G mobile network (%)
Americas,2023,Total,99.7,Population covered by at least a 3G mobile network (%)
Arab States,2023,Total,99.6,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2023,Total,99.1,Population covered by at least a 3G mobile network (%)
Low-income,2023,Total,90.8,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2023,Total,98.9,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2023,Total,99.8,Population covered by at least a 3G mobile network (%)
High-income,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2023,Total,97.6,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2023,Total,98.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2023,Total,85.6,Population covered by at least a 3G mobile network (%)
Africa,2023,Total,98.6,Population covered by at least a 3G mobile network (%)
Americas,2023,Total,98.5,Population covered by at least a 3G mobile network (%)
Arab States,2023,Total,98.5,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2023,Total,99.3,Population covered by at least a 3G mobile network (%)
CIS,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2023,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2023,Total,60.7,Population covered by at least a 3G mobile network (%)
Low-income,2023,Total,2.6,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2023,Total,48.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2023,Total,61.7,Population covered by at least a 3G mobile network (%)
High-income,2023,Total,86.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2023,Total,3.8,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2023,Total,8.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2023,Total,35.5,Population covered by at least a 3G mobile network (%)
Africa,2023,Total,13.7,Population covered by at least a 3G mobile network (%)
Americas,2023,Total,59.7,Population covered by at least a 3G mobile network (%)
Arab States,2023,Total,17.8,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2023,Total,78.0,Population covered by at least a 3G mobile network (%)
CIS,2023,Total,5.8,Population covered by at least a 3G mobile network (%)
Europe,2023,Total,74.3,Population covered by at least a 3G mobile network (%)
Africa,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Americas,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Arab States,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2024,Total,99.9,Population covered by at least a 3G mobile network (%)
Low-income,2024,Total,99.8,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2024,Total,99.8,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
High-income,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2024,Total,99.9,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2024,Total,99.8,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2024,Total,99.2,Population covered by at least a 3G mobile network (%)
Africa,2024,Total,99.9,Population covered by at least a 3G mobile network (%)
Americas,2024,Total,99.7,Population covered by at least a 3G mobile network (%)
Arab States,2024,Total,99.6,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
CIS,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2024,Total,99.1,Population covered by at least a 3G mobile network (%)
Low-income,2024,Total,91.2,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2024,Total,98.9,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2024,Total,99.8,Population covered by at least a 3G mobile network (%)
High-income,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2024,Total,97.7,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2024,Total,98.4,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2024,Total,85.0,Population covered by at least a 3G mobile network (%)
Africa,2024,Total,98.6,Population covered by at least a 3G mobile network (%)
Americas,2024,Total,98.5,Population covered by at least a 3G mobile network (%)
Arab States,2024,Total,98.5,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2024,Total,99.3,Population covered by at least a 3G mobile network (%)
CIS,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
Europe,2024,Total,100.0,Population covered by at least a 3G mobile network (%)
World,2024,Total,67.1,Population covered by at least a 3G mobile network (%)
Low-income,2024,Total,9.8,Population covered by at least a 3G mobile network (%)
Lower-middle-income,2024,Total,53.7,Population covered by at least a 3G mobile network (%)
Upper-middle-income,2024,Total,71.1,Population covered by at least a 3G mobile network (%)
High-income,2024,Total,89.5,Population covered by at least a 3G mobile network (%)
Least Developed Countries (LDCs),2024,Total,15.4,Population covered by at least a 3G mobile network (%)
Land Locked Developing Countries (LLDCs),2024,Total,29.6,Population covered by at least a 3G mobile network (%)
Small Island Developing States (SIDS),2024,Total,41.4,Population covered by at least a 3G mobile network (%)
Africa,2024,Total,25.2,Population covered by at least a 3G mobile network (%)
Americas,2024,Total,70.4,Population covered by at least a 3G mobile network (%)
Arab States,2024,Total,20.7,Population covered by at least a 3G mobile network (%)
Asia-Pacific,2024,Total,81.9,Population covered by at least a 3G mobile network (%)
CIS,2024,Total,18.1,Population covered by at least a 3G mobile network (%)
Europe,2024,Total,80.6,Population covered by at least a 3G mobile network (%)
Africa,2015,Total,78.5,Population covered by at least a 3G mobile network (%)
